city,state_abbr,county,lat,lng,population,zips,building_count,tier,slug,label,city_state_slug,path,source,officefinder_code,incorporated,cdp,ranking,simplemaps_matched,is_new_candidate
Murfreesboro,TN,Rutherford County,35.849,-86.4121,194551,37132 37130 37129 37128 37127 37131 37133,1,3,murfreesboro,"Murfreesboro, TN",murfreesboro-tn,/commercial-real-estate/TN/murfreesboro/,rofo,,,,,true,
Nashville,TN,Davidson County,36.1627,-86.7816,1201962,37027 37138 37076 37072 37203 37206 37201 37080 37218 37219 37216 37217 37214 37215 37212 37213 37210 37211 37189 37232 37238 37209 37208 37205 37204 37207 37115 37013 37228 37221 37220 37143 37011 37116 37202 37222 37224 37227 37229 37230 37234 37235 37236 37240 37241 37242 37243 37244 37246 37250,706,1,nashville,"Nashville, TN",nashville-tn,/commercial-real-estate/TN/nashville/,rofo,,,,,true,
Pleasant View,TN,Cheatham County,36.3893,-87.0455,5276,37015 37146,0,3,pleasant-view,"Pleasant View, TN",pleasant-view-tn,/commercial-real-estate/TN/pleasant-view/,officefinder+simplemaps,2647,TRUE,FALSE,3,true,true
Abilene,TX,Taylor County,32.4543,-99.7384,128053,79607 79605 79699 79603 79602 79601 79606 79604 79608 79697 79698,1,3,abilene,"Abilene, TX",abilene-tx,/commercial-real-estate/TX/abilene/,rofo,,,,,true,
Addison,TX,Dallas County,32.959,-96.8355,17290,75254 75001 75391,3,3,addison,"Addison, TX",addison-tx,/commercial-real-estate/TX/addison/,rofo,,,,,true,
Allen,TX,Collin County,33.1088,-96.6735,110265,75002 75013,1,3,allen,"Allen, TX",allen-tx,/commercial-real-estate/TX/allen/,rofo,,,,,true,
Arlington,TX,Tarrant County,32.6998,-97.125,397742,76011 76005 76001 76002 76006 76018 76013 76012 76010 76017 76016 76015 76014 76003 76004 76007 76019 76094 76096,2,3,arlington,"Arlington, TX",arlington-tx,/commercial-real-estate/TX/arlington/,rofo,,,,,true,
Austin,TX,Travis County,30.2672,-97.7431,1940039,78749 78748 78741 78742 78745 78744 78747 78746 78717 78712 78719 78617 78739 78735 78736 78730 78731 78732 78733 78705 78704 78701 78703 78702 78758 78759 78752 78753 78750 78751 78756 78757 78754 78652 78723 78722 78721 78727 78726 78725 78724 78729 78728 73301 73344 78651 78708 78709 78710 78711 78713 78714 78715 78718 78720 78755 78760 78761 78762 78763 78765 78766 78767 78768 78772 78773 78774 78778 78779 78783 78799,1266,1,austin,"Austin, TX",austin-tx,/commercial-real-estate/TX/austin/,rofo,,,,,true,
Bedford,TX,Tarrant County,32.8464,-97.135,49085,76022 76021 75064 76095,0,3,bedford,"Bedford, TX",bedford-tx,/commercial-real-estate/TX/bedford/,officefinder+simplemaps,2248,TRUE,FALSE,3,true,true
Bee Cave,TX,Travis County,30.3084,-97.9629,8862,78738,0,3,bee-cave,"Bee Cave, TX",bee-cave-tx,/commercial-real-estate/TX/bee-cave/,officefinder+simplemaps,2289,TRUE,FALSE,3,true,true
