code,raw_market,state_abbr,market_name,classification,confidence,reason,parent_city,child_submarket,slug,matched,rofo_city,rofo_slug,rofo_lat,rofo_lng,rofo_path
2381,KY - Jeffersontown,KY,Jeffersontown,city,medium,default_city,,,jeffersontown,false,,,,,
1979,LA - Harahan,LA,Harahan,city,medium,default_city,,,harahan,false,,,,,
1982,LA - Saint Rose,LA,Saint Rose,city,medium,default_city,,,saint-rose,false,,,,,
1367,MA - Acton,MA,Acton,city,medium,default_city,,,acton,false,,,,,
1368,MA - Agawam,MA,Agawam,city,medium,default_city,,,agawam,false,,,,,
1370,MA - Arlington,MA,Arlington,city,medium,default_city,,,arlington,false,,,,,
1371,MA - Ashland,MA,Ashland,city,medium,default_city,,,ashland,false,,,,,
1372,MA - Auburn,MA,Auburn,city,medium,default_city,,,auburn,false,,,,,
1373,MA - Avon,MA,Avon,city,medium,default_city,,,avon,false,,,,,
1374,MA - Bedford,MA,Bedford,city,medium,default_city,,,bedford,false,,,,,
1375,MA - Bellingham,MA,Bellingham,city,medium,default_city,,,bellingham,false,,,,,
1376,MA - Beverly,MA,Beverly,city,medium,default_city,,,beverly,false,,,,,
1377,MA - Billerica,MA,Billerica,city,medium,default_city,,,billerica,false,,,,,
2107,MA - Braintree,MA,Braintree,city,medium,default_city,,,braintree,false,,,,,
1859,MA - Brighton,MA,Brighton,city,medium,default_city,,,brighton,false,,,,,
2078,MA - Dover,MA,Dover,city,medium,default_city,,,dover,false,,,,,
1592,MA - Fall River,MA,Fall River,city,medium,default_city,,,fall-river,false,,,,,
2464,MA - Franklin,MA,Franklin,city,medium,default_city,,,franklin,false,,,,,
2590,MA - Hanover,MA,Hanover,city,medium,default_city,,,hanover,false,,,,,
2076,MA - Holliston,MA,Holliston,city,medium,default_city,,,holliston,false,,,,,
2460,MA - Hudson,MA,Hudson,city,medium,default_city,,,hudson,false,,,,,
2477,MA - Jamaica Plain,MA,Jamaica Plain,city,medium,default_city,,,jamaica-plain,false,,,,,
2323,MA - Lowell,MA,Lowell,city,medium,default_city,,,lowell,false,,,,,
2108,MA - Mansfield,MA,Mansfield,city,medium,default_city,,,mansfield,false,,,,,
442,MA - Natick,MA,Natick,city,medium,default_city,,,natick,false,,,,,
2613,MA - North Andover,MA,North Andover,city,medium,default_city,,,north-andover,false,,,,,
2458,MA - Randolph,MA,Randolph,city,medium,default_city,,,randolph,false,,,,,
2462,MA - Rockland,MA,Rockland,city,medium,default_city,,,rockland,false,,,,,
2461,MA - Roxbury,MA,Roxbury,city,medium,default_city,,,roxbury,false,,,,,
2463,MA - Salem,MA,Salem,city,medium,default_city,,,salem,false,,,,,
2075,MA - Sherborn,MA,Sherborn,city,medium,default_city,,,sherborn,false,,,,,
